id_rssd,name,city,filing_type,total_assets,total_loans_gross,ci_loans,cre_proxy_total,loan_to_asset_ratio,cre_to_loans,ci_to_loans
917555,UBANK,HUNTINGTON,51,906177000.0,718686000.0,155038000.0,476398000.0,0.7930967128938387,0.6628736332696059,0.21572425231603232
3166699,TOLLESON PRIVATE BANK,DALLAS,51,1010913000.0,713681000.0,55841000.0,115671000.0,0.7059766765290386,0.16207661406146442,0.07824364106652693
327855,CIERA BANK,GRAHAM,51,975431000.0,711523000.0,83857000.0,508137000.0,0.7294447275101981,0.7141540048599975,0.11785564205233
393953,"HOMETOWN BANK, NATIONAL ASSOCIATION",GALVESTON,51,997811000.0,693408000.0,53183000.0,514294000.0,0.6949292000188413,0.7416903179657576,0.07669799021643824
414764,TEXAS BANK,HENDERSON,51,935737000.0,692274000.0,36066000.0,439054000.0,0.739816850247452,0.6342199764833,0.05209786876294646
938859,NEWFIRST NATIONAL BANK,EL CAMPO,51,944404000.0,691145000.0,73778000.0,517458000.0,0.7318319278613814,0.7486967278935679,0.10674749871589898
199463,WESTERN BANK,LUBBOCK,51,844765000.0,685453000.0,148314000.0,349720000.0,0.8114126413854741,0.5102027418364206,0.21637369739427795
273662,FIRST STATE BANK OF UVALDE,UVALDE,51,1788521000.0,674527000.0,80619000.0,398280000.0,0.3771423427513571,0.5904582025626847,0.1195193076036986
739355,TEXAS NATIONAL BANK OF JACKSONVILLE,JACKSONVILLE,41,834839000.0,670068000.0,81726000.0,298947000.0,0.8026314055764046,0.4461442719246405,0.12196672576514622
18050,"FIRST NATIONAL BANK OF BASTROP, THE",BASTROP,51,1100844000.0,653137000.0,30535000.0,384192000.0,0.5933056818223109,0.5882257474312433,0.046751294138901944
972862,PLAINS STATE BANK,HUMBLE,51,882402000.0,649851000.0,73488000.0,506129000.0,0.7364568529989732,0.7788385337561995,0.1130843839587844
888552,"FIRST STATE BANK, THE",LOUISE,51,878760000.0,632561000.0,44781000.0,400838000.0,0.7198336292047885,0.6336748550732657,0.0707931725161684
583754,BANK OF HOUSTON,HOUSTON,51,744484000.0,624475000.0,84463000.0,393244000.0,0.8388024457207945,0.6297193642659834,0.13525441370751431
583268,SCHERTZ BANK & TRUST,SCHERTZ,51,770199000.0,617864000.0,46541000.0,522347000.0,0.8022134539255439,0.8454077272668419,0.07532563800447994
908861,"TRANSPECOS BANKS, SSB",PECOS,41,964795000.0,609708000.0,335603000.0,97392000.0,0.631956011380656,0.15973547993465725,0.5504323381028295
3690121,LIBERTY CAPITAL BANK,ADDISON,51,747269000.0,600885000.0,50608000.0,366220000.0,0.8041080253563309,0.6094677018065021,0.08422243856977625
3297490,HARMONY BANK,DALLAS,51,837883000.0,593684000.0,81740000.0,426349000.0,0.7085523873858284,0.7181413007593265,0.13768267293711806
726953,UNITED TEXAS BANK,DALLAS,41,1091686000.0,590788000.0,61300000.0,392894000.0,0.5411702632441929,0.6650338192380346,0.10375972430042588
444350,FIRST TEXAS BANK,GEORGETOWN,51,1295534000.0,588732000.0,25353000.0,439898000.0,0.4544319176494017,0.7471956679779594,0.04306373698049367
665865,ROUND TOP STATE BANK,ROUND TOP,51,943297000.0,586145000.0,20186000.0,307458000.0,0.6213790566491784,0.5245425619940458,0.034438577485093276
596156,CAPITAL BANK,HOUSTON,41,673384000.0,577304000.0,24978000.0,437281000.0,0.8573176671854396,0.7574536119618087,0.04326663248479137
844567,POINTBANK,PILOT POINT,51,1083598000.0,570687000.0,90135000.0,315737000.0,0.5266593330737045,0.5532577402323866,0.15794121821593973
239659,FIRST BANK,BURKBURNETT,51,677348000.0,567752000.0,58417000.0,305591000.0,0.8381983854680312,0.5382473333427271,0.10289175555524242
614368,FIRST NATIONAL BANK AND TRUST COMPANY OF WEATHERFORD DBA FIRST BANK TEXAS,WEATHERFORD,51,978794000.0,557039000.0,44374000.0,411202000.0,0.5691074935073162,0.7381924784440587,0.07966049055811172
839068,SECURITY STATE BANK,PEARSALL,51,949056000.0,556623000.0,28369000.0,484016000.0,0.5865017448917661,0.8695580311988546,0.05096627340228485
333856,GRANDVIEW BANK,GRANDVIEW,51,690146000.0,533160000.0,179813000.0,253506000.0,0.7725321888412017,0.4754782804411434,0.3372589841698552
494654,"AMERICAN BANK, NATIONAL ASSOCIATION",DALLAS,51,700010000.0,527888000.0,73477000.0,256420000.0,0.7541149412151255,0.48574697663140665,0.13919051010820477
404653,DOMINION BANK,DALLAS,51,662300000.0,526281000.0,183026000.0,315301000.0,0.7946263022799336,0.5991115012702339,0.3477723877548306
182951,"CLASSIC BANK, NATIONAL ASSOCIATION",CAMERON,51,648291000.0,524886000.0,32318000.0,251459000.0,0.8096456683804032,0.47907355120921497,0.061571465041932914
